completion,prompt
안녕하세요! 만나서 반갑습니다. ,"Conversation_id:
1.1
 ### Instruction:
Role: User: Bystander
AI: interviewing user about job
Situtation:
u greet someone, ask about someone's job, what they do, and asking about their colleague's job. How would it be done. target lanaguge is korean. I want to conversation to last for atleast 5 minutes
 ### Input:
안녕하세요! 만나서 반갑습니다."
잘 지내셨나요?,"Conversation_id:
1.2
 ### Instruction:
Role: User: Bystander
AI: interviewing user about job
Situtation:
u greet someone, ask about someone's job, what they do, and asking about their colleague's job. How would it be done. target lanaguge is korean. I want to conversation to last for atleast 5 minutes
 ### Input:
네, 잘 지냈어요."
"그래서, 당신의 직업이 무엇인가요?","Conversation_id:
1.3
 ### Instruction:
Role:
User: Bystander
AI: interviewing user about job
Situtation:
u greet someone, ask about someone's job, what they do, and asking about their colleague's job. How would it be done. target lanaguge is korean. I want to conversation to last for atleast 5 minutes
 ### Input:
저는 의사입니다."
그렇군요. 의사로서 하루 일과는 어떻게 되나요?,"Conversation_id:
1.4
 ### Instruction:
Role:
User: Bystander
AI: interviewing user about job
Situtation:
u greet someone, ask about someone's job, what they do, and asking about their colleague's job. How would it be done. target lanaguge is korean. I want to conversation to last for atleast 5 minutes
 ### Input:
매일 환자를 진료하고, 필요한 진료를 제공합니다."
"그렇군요, 흥미롭네요. 그럼 당신의 동료들의 직업은 무엇인가요?","Conversation_id:
1.5
 ### Instruction:
Role:
User: Bystander
AI: interviewing user about job
Situtation:
u greet someone, ask about someone's job, what they do, and asking about their colleague's job. How would it be done. target lanaguge is korean. I want to conversation to last for atleast 5 minutes
 ### Input:
제 동료들은 다양한 직업을 가지고 있습니다. 변호사, 경찰, 회계사, 그리고 마케팅 담당자가 있습니다."
그런 동료들과 일하는 것은 어떤가요?,"Conversation_id:
1.6
 ### Instruction:
Role:
User: Bystander
AI: interviewing user about job
Situtation:
u greet someone, ask about someone's job, what they do, and asking about their colleague's job. How would it be done. target lanaguge is korean. I want to conversation to last for atleast 5 minutes
 ### Input:
동료들과 함께 일하면서 서로의 강점을 살려 협력합니다."
감사합니다! 대화하기 너무 즐거웠어요. [End of conversation],"Conversation_id:
1.7
 ### Instruction:
Role:
User: Bystander
AI: interviewing user about job
Situtation:
u greet someone, ask about someone's job, what they do, and asking about their colleague's job. How would it be done. target lanaguge is korean. I want to conversation to last for atleast 5 minutes"
안녕하세요! 직업에 대해 어떤 관심사가 있으신가요?,"Conversation_id:
2.1
 ### Instruction:
""Role: User: A person curious about different professions. AI: A career counselor discussing various professions. Prompt: Engage the user by asking them about their interests and aspirations. Introduce them to various occupations, discussing the nature of each job, their pros and cons, and the qualifications required. Encourage the user to inquire and respond using the formal endings -입니다, -입니까? and -습니다, -습니까?""
 ### Input:
안녕하세요! 사실 제가 다양한 직업에 관심이 있어서 여기 왔습니다."
"그럼, 특정 분야에 관심이 있으신가요?","Conversation_id:
2.2
 ### Instruction:
""Role: User: A person curious about different professions. AI: A career counselor discussing various professions. Prompt: Engage the user by asking them about their interests and aspirations. Introduce them to various occupations, discussing the nature of each job, their pros and cons, and the qualifications required. Encourage the user to inquire and respond using the formal endings -입니다, -입니까? and -습니다, -습니까?""
 ### Input:
네, IT와 예술 분야에 관심이 있습니다."
"IT 분야에는 개발자, 시스템 관리자, 네트워크 엔지니어 등 다양한 직업이 있습니다. 예술 분야에는 화가, 조각가, 디자이너 등이 있습니다. 어느 직업에 더 깊은 관심이 있으신가요?","Conversation_id:
2.3
 ### Instruction:
""Role: User: A person curious about different professions. AI: A career counselor discussing various professions. Prompt: Engage the user by asking them about their interests and aspirations. Introduce them to various occupations, discussing the nature of each job, their pros and cons, and the qualifications required. Encourage the user to inquire and respond using the formal endings -입니다, -입니까? and -습니다, -습니까?""
 ### Input:
IT 분야의 개발자에 대해 더 알고 싶습니다."
개발자는 소프트웨어나 애플리케이션을 생성하고 수정하는 업무를 담당합니다. 이 분야는 끊임없이 변화하기 때문에 항상 새로운 기술을 배우는 것이 중요합니다.,"Conversation_id:
2.4
 ### Instruction:
""Role: User: A person curious about different professions. AI: A career counselor discussing various professions. Prompt: Engage the user by asking them about their interests and aspirations. Introduce them to various occupations, discussing the nature of each job, their pros and cons, and the qualifications required. Encourage the user to inquire and respond using the formal endings -입니다, -입니까? and -습니다, -습니까?""
 ### Input:
그렇군요. 개발자가 되기 위한 자격 요건은 무엇인가요?"
대부분의 개발자는 컴퓨터 공학이나 관련 분야에서 학사 학위를 가지고 있습니다. 그러나 중요한 것은 기술적 지식과 경험입니다. 많은 기업들은 포트폴리오와 실제 경험을 중시합니다.,"Conversation_id:
2.5
 ### Instruction:
""Role: User: A person curious about different professions. AI: A career counselor discussing various professions. Prompt: Engage the user by asking them about their interests and aspirations. Introduce them to various occupations, discussing the nature of each job, their pros and cons, and the qualifications required. Encourage the user to inquire and respond using the formal endings -입니다, -입니까? and -습니다, -습니까?""
 ### Input:
어떤 프로그래밍 언어를 배워야 할까요?"
